points_5,points_4,points_3,points_2,points_1
Fantail,Kākā,Rock Wren,Yellow-eyed penguin,Tūī
Tūī,Kererū,Grey Warbler,Bellbird,New Zealand Dotterel
Fantail,Yellow-eyed penguin,Silvereye,Kākā,New Zealand King Shag
Kākāpō,Kākā,Kererū,Kea,Southern Brown Kiwi
Orange-fronted Parakeet,Saddleback,New Zealand Robin,Tomtit,Kākā
Yellow-eyed penguin,Antipodean Albatross,South Island Kōkako,Kākāpō,Black Robin
Fantail,Morepork,Kea,Antipodean Albatross,South Island Kōkako
South Island Kōkako,Yellow-eyed penguin,Kererū,Mōhua,Kākā
Fantail,Black Robin,Kākāpō,Rock Wren,Kererū
Kea,New Zealand Falcon,Blue Duck,Royal Spoonbill,Shining Cuckoo
New Zealand Dotterel,Stitchbird,Antipodean Albatross,Bellbird,Saddleback
Banded Dotterel,Black Robin,Kākā,Kākāpō,Yellow-eyed penguin
Yellow-eyed penguin,Kōkako,South Island Kōkako,Black Stilt,Antipodean Albatross
Kea,Orange-fronted Parakeet,Shining Cuckoo,Morepork,South Island Kōkako
Kea,Kākāpō,Kākā,New Zealand Robin,Orange-fronted Parakeet
Yellow-eyed penguin,New Zealand Falcon,Royal Spoonbill,Orange-fronted Parakeet,Kingfisher
South Island Kōkako,Rock Wren,New Zealand Dabchick,Banded Dotterel,Black Stilt
Yellow-eyed penguin,NA,NA,NA,NA
Rockhopper Penguin,Yellow-eyed penguin,Orange-fronted Parakeet,Fiordland Crested Penguin,White Heron
Kōkako,Saddleback,Morepork,Kea,Takahē
Tomtit,Black Robin,Antipodean Albatross,Blue Duck,Bellbird
South Island Kōkako,Saddleback,Black Robin,Stitchbird,Welcome Swallow
Banded Dotterel,Grey Warbler,Rifleman,Silvereye,Welcome Swallow
Black-billed Gull,Wrybill,Bittern,Banded Dotterel,Black-fronted Tern
Kākā,Kākāpō,Takahē,Orange-fronted Parakeet,Morepork
Black-billed Gull,Banded Dotterel,Black Robin,Wrybill,Shore Plover
Rifleman,Westland Petrel,Grey Warbler,Wrybill,Rock Wren
Kākā,Kākāpō,Southern Royal Albatross,Black Stilt,Spotless Crake
Banded Dotterel,Bittern,Black Stilt,Fairy Tern,Australasian Crested Grebe
Banded Dotterel,Yellow-eyed penguin,The Otago Shag,Black Robin,Little Spotted Kiwi
Yellow-eyed penguin,Rock Wren,Rifleman,Bittern,South Island Pied Oystercatcher
Black-billed Gull,Mōhua,New Zealand Dotterel,Orange-fronted Parakeet,Black Robin
Fantail,Kererū,Morepork,Bellbird,New Zealand Falcon
Kākāpō,Kākā,Orange-fronted Parakeet,Kea,Tūī
Fairy Tern,Orange-fronted Parakeet,New Zealand Dotterel,Bittern,Yellow-eyed penguin
Blue Duck,Kea,Bellbird,Harrier,Saddleback
Yellow-eyed penguin,New Zealand Falcon,Harrier,Black Robin,Rockhopper Penguin
Southern Brown Kiwi,Stitchbird,Mōhua,Tūī,Fantail
Black Robin,Kākā,Morepork,Black Stilt,Black-fronted Tern
South Island Pied Oystercatcher,Shore Plover,Salvin's Mollymawk,Fantail,Little Spotted Kiwi
Kea,Yellow-eyed penguin,New Zealand Falcon,New Zealand Robin,Kākā
Little Penguin,Kererū,Rockhopper Penguin,Antipodean Albatross,Weka
Kea,Tūī,Banded Dotterel,Kākā,Blue Duck
Fantail,Tūī,Kākā,Morepork,New Zealand Falcon
Rock Wren,Mōhua,Kākāpō,Orange-fronted Parakeet,Little Spotted Kiwi
Saddleback,Orange-fronted Parakeet,Southern Brown Kiwi,Shore Plover,Yellow-eyed penguin
Southern Royal Albatross,Shining Cuckoo,Kingfisher,Welcome Swallow,Grey Warbler
Royal Spoonbill,Silvereye,Tūī,Antipodean Albatross,White-faced Heron
Arctic Skua,Australasian Crested Grebe,Fernbird,Kākā,Royal Spoonbill
Grey Warbler,Tūī,Fantail,Bellbird,Barn Owl
Black-billed Gull,Banded Dotterel,South Island Pied Oystercatcher,Bittern,South Island Kōkako
Kākāpō,Antipodean Albatross,Blue Duck,Southern Royal Albatross,Stitchbird
Kākāpō,Kea,Southern Brown Kiwi,Bar-tailed Godwit,Banded Dotterel
New Zealand Dabchick,Kingfisher,Whenua Hou Diving Petrel,Fantail,New Zealand Dotterel
Blue Duck,New Zealand Falcon,Yellow-eyed penguin,Gibson's Albatross,Orange-fronted Parakeet
Antipodean Albatross,Kākāpō,Yellow-eyed penguin,New Zealand Falcon,Silvereye
Little Spotted Kiwi,Southern Brown Kiwi,Great Spotted Kiwi,North Island Brown Kiwi,Kākāpō
Blue Duck,Bar-tailed Godwit,Black-billed Gull,Fairy Tern,Black Robin
Rockhopper Penguin,Little Penguin,Kākā,Takahē,Morepork
New Zealand Falcon,Rockhopper Penguin,Chatham Island Mollymawk,Tūī,Fantail
Great Spotted Kiwi,Barn Owl,Banded Dotterel,Fiordland Crested Penguin,Mōhua
Yellow-eyed penguin,NA,NA,NA,NA
Tūī,Kākā,Yellow-eyed penguin,Kākāpō,Kea
Fiordland Crested Penguin,Morepork,Fantail,Bellbird,Blue Duck
Grey Warbler,Kākāpō,Rockhopper Penguin,Tūī,Black-billed Gull
Mōhua,New Zealand Dotterel,Banded Dotterel,Stitchbird,Kōkako
Black Robin,Black Stilt,Takahē,Bar-tailed Godwit,New Zealand Falcon
Kākāpō,Gibson's Albatross,Southern Brown Kiwi,Antipodean Albatross,Bellbird
Yellow-eyed penguin,New Zealand Falcon,Silvereye,Antipodean Albatross,Kākāpō
Yellow-eyed penguin,Kākāpō,Kākā,Southern Brown Kiwi,Little Spotted Kiwi
Black-billed Gull,Blue Duck,New Zealand Dotterel,Variable Oystercatcher,Fernbird
Kererū,Mōhua,Fantail,Bar-tailed Godwit,Rock Wren
Yellow-eyed penguin,Mōhua,Fiordland Crested Penguin,Rock Wren,Chatham Island Oystercatcher
Yellow-eyed penguin,South Island Kōkako,Takahē,North Island Brown Kiwi,Little Penguin
Stitchbird,Tūī,Kingfisher,Rifleman,Saddleback
Kākāpō,Bellbird,Great Spotted Kiwi,Harrier,Kea
Yellow-eyed penguin,NA,NA,NA,NA
South Island Kōkako,Kākā,New Zealand Falcon,Fantail,Little Penguin
Morepork,Takahē,South Island Kōkako,Orange-fronted Parakeet,Chatham Island Oystercatcher
Little Penguin,Blue Duck,Morepork,Bellbird,Kererū
New Zealand Falcon,Kea,Kingfisher,Kākā,Tūī
Morepork,Bellbird,Tūī,Saddleback,Kererū
Yellow-eyed penguin,Fiordland Crested Penguin,Whenua Hou Diving Petrel,Rockhopper Penguin,Fairy Tern
Yellow-eyed penguin,NA,NA,NA,NA
Southern Brown Kiwi,Kākā,Kea,Saddleback,Kōkako
Banded Dotterel,Buller's Mollymawk,Kea,Kākāpō,Kōkako
Banded Dotterel,Little Spotted Kiwi,Chatham Island Mollymawk,South Island Kōkako,Kākā
Kea,Morepork,New Zealand Falcon,Weka,Fantail
Banded Dotterel,Bittern,Black Robin,Black Stilt,Black-billed Gull
Stitchbird,Orange-fronted Parakeet,Fernbird,Harrier,Australasian Gannet
Kākāpō,Kererū,Kea,Little Spotted Kiwi,South Island Kōkako
Blue Duck,Kākā,Kākāpō,Kererū,Welcome Swallow
Kākā,Little Penguin,Morepork,Antipodean Albatross,New Zealand Robin
North Island Brown Kiwi,Kākāpō,Little Penguin,Orange-fronted Parakeet,Tūī
New Zealand Falcon,Kea,Kākāpō,Kōkako,South Island Kōkako
Antipodean Albatross,Orange-fronted Parakeet,Kākāpō,Southern Brown Kiwi,Gibson's Albatross
Banded Dotterel,Fairy Tern,Barn Owl,Blue Duck,Stitchbird
Royal Spoonbill,Australasian Gannet,White-faced Heron,Grey Warbler,Black Stilt
Yellow-eyed penguin,Silvereye,Antipodean Albatross,Black Robin,Kākāpō
Rifleman,Welcome Swallow,Morepork,Pūkeko,New Zealand Falcon
Blue Duck,Kōkako,Stitchbird,New Zealand Falcon,New Zealand Dabchick
Kākāpō,Blue Duck,The Otago Shag,Kākā,Bittern
Kākāpō,Banded Dotterel,Kākā,Kea,Fiordland Crested Penguin
Rockhopper Penguin,Little Spotted Kiwi,New Zealand King Shag,Black Robin,Kākāpō
Kererū,Kingfisher,Kākāpō,Little Penguin,Stitchbird
Yellow-eyed penguin,Antipodean Albatross,North Island Brown Kiwi,Kōkako,New Zealand Dabchick
Yellow-eyed penguin,Little Penguin,Blue Duck,Rockhopper Penguin,Welcome Swallow
Little Spotted Kiwi,Southern Brown Kiwi,Black Robin,Yellow-eyed penguin,Blue Duck
Bellbird,Kōkako,Saddleback,Grey Warbler,New Zealand Falcon
Southern Brown Kiwi,North Island Brown Kiwi,Orange-fronted Parakeet,Kea,Kererū
Black Robin,Kākā,New Zealand Dotterel,Black Stilt,Black-billed Gull
Yellow-eyed penguin,New Zealand Dotterel,NA,NA,NA
Black Stilt,Bittern,Orange-fronted Parakeet,Blue Duck,Fairy Tern
Black Stilt,Rockhopper Penguin,Kākā,Blue Duck,Yellow-eyed penguin
Brown Teal,Shore Plover,New Zealand Falcon,Kākāpō,Blue Duck
Yellow-eyed penguin,NA,NA,NA,NA
Tūī,Fantail,Kōkako,Kingfisher,South Island Pied Oystercatcher
Rock Wren,Variable Oystercatcher,Bellbird,Blue Duck,Yellow-eyed penguin
Rockhopper Penguin,Fiordland Crested Penguin,Yellow-eyed penguin,Rifleman,Kingfisher
Fantail,Fiordland Crested Penguin,New Zealand Falcon,Rifleman,Morepork
Wrybill,Stitchbird,Takahē,North Island Brown Kiwi,Kea
Kea,Bellbird,Blue Duck,South Island Kōkako,Southern Royal Albatross
Yellow-eyed penguin,Fantail,New Zealand Robin,Morepork,Little Penguin
Fairy Tern,Banded Dotterel,Black-billed Gull,Bittern,Fernbird
Barn Owl,Fiordland Crested Penguin,Great Spotted Kiwi,Kākāpō,North Island Brown Kiwi
Little Spotted Kiwi,Blue Duck,Kākāpō,Kākā,Orange-fronted Parakeet
Kōkako,Kererū,Saddleback,Banded Dotterel,Bellbird
New Zealand Dabchick,Bellbird,Kingfisher,Black-billed Gull,Royal Spoonbill
Rockhopper Penguin,Blue Duck,Fiordland Crested Penguin,Little Penguin,Yellow-eyed penguin
Grey Warbler,Blue Duck,Kākāpō,Whitehead,Fantail
Kākāpō,New Zealand Falcon,Tomtit,Morepork,Kōkako
Antipodean Albatross,NA,NA,NA,NA
Black-billed Gull,Blue Duck,Takahē,Brown Teal,Antipodean Albatross
Welcome Swallow,Rifleman,Morepork,Kererū,Kākāpō
Tūī,New Zealand Dotterel,Banded Dotterel,Mōhua,Kea
Kākāpō,Fantail,Little Penguin,Little Spotted Kiwi,North Island Brown Kiwi
South Island Kōkako,New Zealand Dotterel,Kākā,Black-billed Gull,Blue Duck
Weka,Kingfisher,Rifleman,Little Penguin,Kea
Black-fronted Tern,Kingfisher,New Zealand Robin,Orange-fronted Parakeet,Kererū
Fernbird,Yellow-eyed penguin,Blue Duck,Australasian Crested Grebe,Fairy Tern
Black Robin,Morepork,Bar-tailed Godwit,Bellbird,Kingfisher
Black-billed Gull,Kākā,Banded Dotterel,Blue Duck,Stitchbird
Antipodean Albatross,Banded Dotterel,Tomtit,Weka,Yellow-eyed penguin
Stitchbird,Saddleback,Kingfisher,Royal Spoonbill,NA
Fantail,Tūī,Kererū,Harrier,Morepork
Antipodean Albatross,Silvereye,Kākāpō,Southern Brown Kiwi,Little Penguin
Kererū,Kingfisher,Kākā,Little Spotted Kiwi,Morepork
Kākā,Kea,Kākāpō,New Zealand Robin,Yellow-eyed penguin
Pūkeko,Kākāpō,Fantail,Tūī,White Heron
Blue Duck,Campbell Black-Browed Albatross,Fantail,Grey Warbler,Kererū
New Zealand Falcon,New Zealand Dabchick,Bar-tailed Godwit,Barn Owl,North Island Brown Kiwi
Weka,Tūī,Takahē,Black-billed Gull,Kingfisher
Saddleback,Kākā,Fiordland Crested Penguin,Silvereye,Scaup
Hutton's Shearwater,Banded Dotterel,Bar-tailed Godwit,Shore Plover,Bittern
Harrier,Fiordland Crested Penguin,Tomtit,Black Petrel,Black Robin
Fairy Tern,Yellow-eyed penguin,Little Spotted Kiwi,Southern Royal Albatross,Silvereye
Black-billed Gull,Blue Duck,Brown Teal,Kea,New Zealand Dotterel
Yellow-eyed penguin,Black Robin,Chatham Island Oystercatcher,Mōhua,Orange-fronted Parakeet
Bittern,Black Robin,Black Stilt,South Island Kōkako,Stitchbird
Kererū,Spotless Crake,Grey Duck,Kākā,Blue Duck
Fantail,New Zealand Falcon,Hutton's Shearwater,Kākā,Rockhopper Penguin
Black-billed Gull,Kākā,Blue Duck,Grey Warbler,Mōhua
Banded Dotterel,Barn Owl,Bellbird,Black Robin,Chatham Island Mollymawk
South Island Kōkako,Black Robin,Kākāpō,Kōkako,Black-billed Gull
Banded Dotterel,New Zealand Dotterel,Yellow-eyed penguin,Blue Duck,Kākāpō
Hutton's Shearwater,Silvereye,Bittern,Black Petrel,Variable Oystercatcher
Spotless Crake,Fairy Tern,Black Robin,Blue Duck,New Zealand Dotterel
Fantail,Kākā,Stitchbird,Takahē,New Zealand Robin
Antipodean Albatross,Chatham Island Mollymawk,Chatham Island Oystercatcher,Fairy Tern,Gibson's Albatross
Antipodean Albatross,New Zealand Dotterel,Black Robin,Black Stilt,Chatham Island Oystercatcher
Kākāpō,Kōkako,Kea,Banded Dotterel,Black Robin
Banded Dotterel,Antipodean Albatross,Bittern,Black Robin,Fairy Tern
Banded Dotterel,New Zealand Dotterel,Fiordland Crested Penguin,Rock Wren,Rockhopper Penguin
Little Spotted Kiwi,Great Spotted Kiwi,Little Penguin,Fiordland Crested Penguin,Kea
Hutton's Shearwater,Black Robin,Kākā,Yellow-eyed penguin,South Island Kōkako
South Island Kōkako,Kōkako,New Zealand Falcon,Weka,Saddleback
Blue Duck,Kōkako,Saddleback,Shore Plover,Kererū
Antipodean Albatross,Gibson's Albatross,Stitchbird,Black Robin,South Island Kōkako
Antipodean Albatross,New Zealand Falcon,Great Spotted Kiwi,Stitchbird,Orange-fronted Parakeet
Little Penguin,Black Robin,New Zealand Falcon,Tūī,Yellow-eyed penguin
Kākā,Kākāpō,Black Robin,Fiordland Crested Penguin,Southern Brown Kiwi
Blue Duck,Little Penguin,Black Robin,Gibson's Albatross,Kingfisher
Black Robin,Chatham Island Oystercatcher,Kākā,Kākāpō,Mōhua
Mōhua,New Zealand Dotterel,New Zealand Robin,North Island Brown Kiwi,Bittern
Chatham Island Mollymawk,Buller's Mollymawk,Light-mantled Sooty Albatross,Pied Shag,Australasian Gannet
Yellow-eyed penguin,Rifleman,White-faced Heron,New Zealand Falcon,New Zealand Robin
Kākā,Morepork,Antipodean Albatross,Southern Brown Kiwi,Mōhua
Whenua Hou Diving Petrel,Black Robin,Stitchbird,Black Stilt,South Island Kōkako
Yellow-eyed penguin,Tūī,North Island Brown Kiwi,Fantail,Southern Brown Kiwi
Morepork,New Zealand Falcon,Orange-fronted Parakeet,Rock Wren,Fantail
Yellow-eyed penguin,Antipodean Albatross,Banded Dotterel,Kākā,Tūī
Rockhopper Penguin,Light-mantled Sooty Albatross,Little Spotted Kiwi,Banded Dotterel,Great Spotted Kiwi
Kōkako,Southern Brown Kiwi,Takahē,Mōhua,Blue Duck
Southern Brown Kiwi,Kākāpō,Little Spotted Kiwi,Rockhopper Penguin,Little shag
Southern Brown Kiwi,Black Robin,Tūī,Morepork,Silvereye
Great Spotted Kiwi,North Island Brown Kiwi,Kea,Morepork,Black Robin
Rifleman,New Zealand Robin,Fantail,Bellbird,Banded Dotterel
Shore Plover,Chatham Island Oystercatcher,Banded Dotterel,Bittern,Black Robin
Kea,Saddleback,South Island Kōkako,South Island Pied Oystercatcher,Black shag
Wrybill,Rockhopper Penguin,Bittern,Fiordland Crested Penguin,Kea
Kōkako,Little Penguin,White-faced Heron,Scaup,Saddleback
Fiordland Crested Penguin,Little Penguin,Rockhopper Penguin,Yellow-eyed penguin,NA
Yellow-eyed penguin,South Island Kōkako,Fairy Tern,Blue Duck,Banded Dotterel
Tūī,Southern Brown Kiwi,Kākā,Yellow-eyed penguin,Fiordland Crested Penguin
Fernbird,Kingfisher,Banded Dotterel,Tomtit,Weka
Yellow-eyed penguin,Kākāpō,Little Spotted Kiwi,Blue Duck,Rockhopper Penguin
Yellow-eyed penguin,Banded Dotterel,Rifleman,South Island Kōkako,Takahē
Kōkako,Morepork,Yellow-eyed penguin,Kākāpō,Kākā
Kākāpō,Yellow-eyed penguin,Takahē,Rockhopper Penguin,Orange-fronted Parakeet
Blue Duck,Yellow-eyed penguin,Takahē,Antipodean Albatross,Black Robin
Kākā,Bar-tailed Godwit,Bellbird,Fantail,Kererū
Yellow-eyed penguin,Little Penguin,Blue Duck,Fiordland Crested Penguin,New Zealand Falcon
Kākāpō,Kingfisher,Fantail,Takahē,New Zealand Robin
Kākāpō,Rockhopper Penguin,Southern Royal Albatross,Morepork,Kingfisher
Yellow-eyed penguin,Stitchbird,Kākā,Saddleback,Takahē
Yellow-eyed penguin,Banded Dotterel,Black Robin,Kōkako,Little Spotted Kiwi
New Zealand Dotterel,Banded Dotterel,Fairy Tern,Fantail,Tomtit
Kea,Kākāpō,New Zealand Robin,Fiordland Crested Penguin,Tomtit
Whitehead,Mōhua,Stitchbird,Whenua Hou Diving Petrel,Yellow-eyed penguin
Orange-fronted Parakeet,Harrier,Bellbird,NA,NA
Kea,Pūkeko,Harrier,Kingfisher,Antipodean Albatross
Bellbird,Black Robin,Grey Warbler,Kererū,Kōkako
Yellow-eyed penguin,Kākāpō,Kererū,Black Robin,Mōhua
Saddleback,Yellow-eyed penguin,Orange-fronted Parakeet,Stitchbird,Kingfisher
Yellow-eyed penguin,South Island Kōkako,Mōhua,Kea,Black Robin
South Island Kōkako,Kākāpō,Bittern,Blue Duck,Mōhua
Blue Duck,Fiordland Crested Penguin,Gibson's Albatross,Bar-tailed Godwit,Hutton's Shearwater
Kākāpō,Barn Owl,Fantail,Fiordland Crested Penguin,Southern Brown Kiwi
Yellow-eyed penguin,Rifleman,Fantail,Whenua Hou Diving Petrel,Little Penguin
Banded Dotterel,Black Robin,Blue Duck,New Zealand Dotterel,New Zealand Falcon
Blue Duck,Barn Owl,Australasian Crested Grebe,Black Petrel,Buller's Mollymawk
Black-billed Gull,Banded Dotterel,Shore Plover,Yellow-eyed penguin,Chatham Island Oystercatcher
Fantail,Antipodean Albatross,Black Robin,Kererū,New Zealand Falcon
Harrier,Fantail,Bellbird,Kea,Kākāpō
Fantail,Mōhua,Stitchbird,Kākāpō,New Zealand Dabchick
Bittern,South Island Kōkako,Yellow-eyed penguin,Mōhua,Blue Duck
Yellow-eyed penguin,Kākā,Morepork,Little Penguin,Saddleback
Black Robin,Black-billed Gull,Kea,New Zealand Falcon,Saddleback
Morepork,New Zealand Falcon,Yellow-eyed penguin,Kōkako,Bellbird
The Otago Shag,New Zealand Dotterel,Chatham Island Mollymawk,Chatham Island Oystercatcher,Southern Brown Kiwi
Grey Duck,Blue Duck,Kākā,Kōkako,South Island Kōkako
Kākāpō,Little Spotted Kiwi,Antipodean Albatross,New Zealand Dotterel,Blue Duck
Rockhopper Penguin,Kererū,Kōkako,Bar-tailed Godwit,Kingfisher
Antipodean Albatross,Bar-tailed Godwit,Bittern,Black Robin,Banded Dotterel
Kākāpō,Blue Duck,Yellow-eyed penguin,Chatham Island Oystercatcher,Antipodean Albatross
Antipodean Albatross,Banded Dotterel,Black Robin,Yellow-eyed penguin,Whenua Hou Diving Petrel
Antipodean Albatross,Banded Dotterel,Black Stilt,Rifleman,Stitchbird
Yellow-eyed penguin,Kākāpō,Kākā,Gibson's Albatross,Southern Brown Kiwi
Yellow-eyed penguin,North Island Brown Kiwi,Kererū,Tūī,Morepork
Morepork,Kea,New Zealand Falcon,Harrier,Barn Owl
Black Robin,Banded Dotterel,Black-billed Gull,Silvereye,Yellow-eyed penguin
Yellow-eyed penguin,Takahē,NA,NA,NA
Kererū,Tūī,Kingfisher,Rifleman,Morepork
Welcome Swallow,Barn Owl,Bellbird,Fairy Tern,White-faced Heron
Kākāpō,Rifleman,Fiordland Crested Penguin,Black Robin,Kākā
Yellow-eyed penguin,Kākāpō,Blue Duck,Black Robin,Fantail
Chatham Island Mollymawk,Fairy Tern,South Island Kōkako,Black-billed Gull,Kākā
Buller's Mollymawk,Chatham Island Mollymawk,Fernbird,Kākāpō,Rock Wren
Stitchbird,NA,NA,NA,NA
South Island Kōkako,Southern Brown Kiwi,Shore Plover,Kākā,Kākāpō
Yellow-eyed penguin,Little Penguin,Rockhopper Penguin,Fiordland Crested Penguin,Antipodean Albatross
Fairy Tern,Royal Spoonbill,Kererū,Fantail,Black-billed Gull
Black Robin,Australasian Crested Grebe,Banded Dotterel,Chatham Island Oystercatcher,Mōhua
Shining Cuckoo,Banded Dotterel,Orange-fronted Parakeet,Black Robin,Fiordland Crested Penguin
Tūī,Morepork,Bellbird,Fantail,Antipodean Albatross
Blue Duck,Kākā,Kākāpō,Rockhopper Penguin,Little Spotted Kiwi
Tūī,Kea,Kererū,Kākā,Morepork
Antipodean Albatross,Barn Owl,Black Robin,Campbell Black-Browed Albatross,Fiordland Crested Penguin
Fiordland Crested Penguin,Banded Dotterel,Rockhopper Penguin,Yellow-eyed penguin,Takahē
Yellow-eyed penguin,Barn Owl,South Island Pied Oystercatcher,Stitchbird,Takahē
New Zealand Dotterel,Mōhua,Orange-fronted Parakeet,South Island Kōkako,Stitchbird
Yellow-eyed penguin,New Zealand Dotterel,Blue Duck,Little Spotted Kiwi,Black-billed Gull
Yellow-eyed penguin,Fantail,Pūkeko,Rock Wren,Rockhopper Penguin
Blue Duck,New Zealand Falcon,Morepork,New Zealand Robin,Bellbird
Fantail,Kea,Kōkako,Little Penguin,Rockhopper Penguin
Black-billed Gull,Hutton's Shearwater,Kākā,Kea,Tūī
Kākā,Blue Duck,Kākāpō,Southern Brown Kiwi,Chatham Island Mollymawk
Wrybill,NA,NA,NA,NA
Antipodean Albatross,Banded Dotterel,Barn Owl,Black Robin,Blue Duck
Orange-fronted Parakeet,Saddleback,Banded Dotterel,Shore Plover,Black Robin
Wrybill,Fairy Tern,Stitchbird,Chatham Island Oystercatcher,Rock Wren
Fantail,Morepork,Kea,Harrier,Kererū
Yellow-eyed penguin,Little Penguin,NA,NA,NA
Black Robin,Blue Duck,Fantail,Kea,Kererū
Yellow-eyed penguin,Antipodean Albatross,Banded Dotterel,Blue Duck,Fiordland Crested Penguin
Morepork,Barn Owl,Little Spotted Kiwi,Fiordland Crested Penguin,Rifleman
Mōhua,Yellow-eyed penguin,Southern Brown Kiwi,Orange-fronted Parakeet,Chatham Island Mollymawk
Black Robin,Yellow-eyed penguin,Black-fronted Tern,Chatham Island Mollymawk,Kākāpō
Morepork,Yellow-eyed penguin,Kākā,Kea,Weka
Mōhua,Stitchbird,Banded Dotterel,Yellow-eyed penguin,Brown Teal
Banded Dotterel,Black-billed Gull,Fiordland Crested Penguin,Kākāpō,New Zealand Dabchick
New Zealand Dotterel,North Island Brown Kiwi,Black Robin,Kākāpō,Antipodean Albatross
Antipodean Albatross,New Zealand Falcon,Banded Dotterel,Stitchbird,Black Stilt
Kākā,South Island Kōkako,Weka,Takahē,New Zealand Robin
Yellow-eyed penguin,Hutton's Shearwater,Rock Wren,The Otago Shag,Kererū
Black Robin,Whenua Hou Diving Petrel,Chatham Island Mollymawk,Banded Dotterel,Little Spotted Kiwi
Black Robin,Fantail,Fiordland Crested Penguin,Kea,Morepork
Yellow-eyed penguin,Kākāpō,Little Spotted Kiwi,NA,NA
Kea,Fiordland Crested Penguin,Fantail,Chatham Island Oystercatcher,Bittern
Kākāpō,Bar-tailed Godwit,Morepork,Saddleback,Shining Cuckoo
Bar-tailed Godwit,Harrier,Bellbird,Tūī,Black Robin
Kingfisher,Shore Plover,Fantail,Kererū,Tūī
Fantail,Rifleman,Kākāpō,New Zealand Robin,Kea
Yellow-eyed penguin,NA,NA,NA,NA
Blue Duck,Shining Cuckoo,Bellbird,Fiordland Crested Penguin,Kākā
Campbell Black-Browed Albatross,Southern Royal Albatross,South Polar Skua,Fiordland Crested Penguin,Rockhopper Penguin
Silvereye,Fantail,Tūī,Kererū,Kea
Black Robin,NA,NA,NA,NA
Yellow-eyed penguin,New Zealand Falcon,New Zealand Dabchick,Rockhopper Penguin,Fiordland Crested Penguin
New Zealand Falcon,Black Robin,Stitchbird,Black-billed Gull,South Island Kōkako
Black Robin,Blue Duck,Pūkeko,Yellow-eyed penguin,Morepork
Stitchbird,Mōhua,Banded Dotterel,Wrybill,Kākāpō
Fantail,Kererū,Tūī,New Zealand Robin,NA
Yellow-eyed penguin,Southern Brown Kiwi,Kākā,Banded Dotterel,Antipodean Albatross
Banded Dotterel,Bar-tailed Godwit,Black Stilt,Black-billed Gull,Buller's Mollymawk
Kākāpō,Little Spotted Kiwi,The Otago Shag,Yellow-eyed penguin,Mōhua
Weka,Morepork,Little Penguin,Kākā,Black Robin
Yellow-eyed penguin,Chatham Island Oystercatcher,Chatham Island Mollymawk,Tūī,The Otago Shag
New Zealand Falcon,Blue Duck,Stitchbird,Fairy Tern,Antipodean Albatross
Bittern,New Zealand Falcon,Kākā,Yellow-eyed penguin,Chatham Island Mollymawk
Yellow-eyed penguin,Blue Duck,Orange-fronted Parakeet,Bittern,Fairy Tern
Weka,Little Penguin,Morepork,Black Robin,New Zealand Robin
Yellow-eyed penguin,Antipodean Albatross,Southern Brown Kiwi,Southern Royal Albatross,Takahē
Black Robin,Mōhua,Banded Dotterel,New Zealand Dotterel,Bittern
Kākāpō,Kererū,Blue Duck,Black Robin,Takahē
Banded Dotterel,Morepork,Shining Cuckoo,Kingfisher,Silvereye
Antipodean Albatross,Blue Duck,Gibson's Albatross,Kākāpō,Yellow-eyed penguin
Black Robin,Yellow-eyed penguin,Little Spotted Kiwi,Kākāpō,Blue Duck
New Zealand Dotterel,Yellow-eyed penguin,Hutton's Shearwater,Banded Dotterel,Tūī
Shining Cuckoo,Black Robin,Tūī,North Island Brown Kiwi,New Zealand Falcon
Yellow-eyed penguin,NA,NA,NA,NA
Chatham Island Oystercatcher,Fiordland Crested Penguin,Great Spotted Kiwi,Kingfisher,Kākāpō
Kākāpō,New Zealand Robin,Grey Duck,Orange-fronted Parakeet,Kingfisher
Kākāpō,Yellow-eyed penguin,Pūkeko,North Island Brown Kiwi,Kererū
Kākāpō,Takahē,Antipodean Albatross,Mōhua,Kākā
South Island Kōkako,Weka,Pūkeko,Bellbird,Fernbird
Bittern,South Island Kōkako,Bar-tailed Godwit,Shore Plover,Kōkako
Yellow-eyed penguin,New Zealand Falcon,Salvin's Mollymawk,Southern Royal Albatross,Blue Duck
Shore Plover,Black Robin,South Island Kōkako,Fairy Tern,Yellow-eyed penguin
Black Robin,Kea,Kākā,Kōkako,Bar-tailed Godwit
Wrybill,NA,NA,NA,NA
Barn Owl,Morepork,Kea,Kākā,Black-billed Gull
Kākā,Yellow-eyed penguin,Orange-fronted Parakeet,New Zealand Falcon,Mōhua
Mōhua,Black Robin,Morepork,Bellbird,Saddleback
Yellow-eyed penguin,Bar-tailed Godwit,New Zealand Falcon,New Zealand Dotterel,Kingfisher
New Zealand Dotterel,Banded Dotterel,Orange-fronted Parakeet,Black Stilt,Little Spotted Kiwi
Black Robin,Saddleback,Stitchbird,Blue Duck,Yellow-eyed penguin
Mōhua,Kererū,Orange-fronted Parakeet,Takahē,Black Stilt
Yellow-eyed penguin,NA,NA,NA,NA
Yellow-eyed penguin,Kākāpō,Little Spotted Kiwi,Kākā,Banded Dotterel
Yellow-eyed penguin,NA,NA,NA,NA
Stitchbird,Tomtit,Black-fronted Tern,Rifleman,Blue Duck
Bellbird,Black Robin,Black-fronted Tern,Fantail,Harrier
Stitchbird,Pūkeko,Kea,NA,NA
